排名,代號,名稱,市場,股本(億),市值(億),上市年數,產業別,董事長
144,5820,日盛金,上櫃,322,288,13.3,金控業,黃錦瑭
145,2362,藍天,上市,68.3,280,18.1,電腦及週邊設備業,許崑泰
146,6409,旭隼,上市,7.08,278,1.1,其他電子業,謝卓明
147,2103,台橡,上市,82.6,278,32.7,橡膠工業,王紹堉
148,1565,精華,上櫃,5.04,273,11.1,生技醫療業,陳明賢
149,1507,永大,上市,41.1,273,25.5,電機機械,許作立
150,1440,南紡,上市,164,273,25.6,紡織纖維,鄭高輝
151,2867,三商壽,上市,145,266,2.4,保險業,劉中興
152,2352,佳世達,上市,197,266,18.8,電腦及週邊設備業,李焜耀
153,2838,聯邦銀,上市,245,263,16.9,銀行業,李憲章
154,2360,致茂,上市,37.9,263,18.4,其他電子業,黃欽明
155,6269,台郡,上市,22.9,261,11.7,電子零組件業,鄭明智
156,9938,百和,上市,29.8,260,14.4,其他業,鄭森煤
157,4162,智擎,上櫃,10.2,257,2.7,生技醫療業,何俊輝
158,6005,群益證,上市,237,256,9.5,證券業,王濬智
159,6286,立錡,上市,14.9,255,11.6,半導體業,邰中和
160,3037,欣興,上市,154,255,12.7,電子零組件業,曾子章
161,8076,伍豐,上櫃,21.8,251,11.4,電腦及週邊設備業,徐明哲
162,2101,南港,上市,83.4,250,51.6,橡膠工業,江慶興
163,2337,旺宏,上市,356,250,20.2,半導體業,吳敏求
164,1314,中石化,上市,232,247,23.9,塑膠工業,沈慶京
165,6415,F-矽力,上市,7.76,246,1.4,半導體業,陳偉
166,4966,F-譜瑞,上櫃,7.55,243,3.7,半導體業,趙捷
167,2015,豐興,上市,58.2,239,23,鋼鐵工業,林明儒
168,2441,超豐,上市,56.9,239,14.6,半導體業,蔡篤恭
169,2889,國票金,上市,269,235,13.2,金控業,魏啟林
170,2723,F-美食,上市,14.1,233,4.5,觀光事業,吳政學
171,2313,華通,上市,119,232,24.8,電子零組件業,吳  健
172,6414,樺漢,上市,6.87,232,1.2,電腦及週邊設備業,樓朝宗
173,2006,東鋼,上市,99.8,232,26.9,鋼鐵工業,侯傑騰
174,2206,三陽,上市,90,232,18.8,汽車工業,張宏嘉
175,1710,東聯,上市,88.6,231,27.6,化學工業,徐旭東
176,2855,統一證,上市,132,228,12.7,證券業,鄧阿華
177,1707,葡萄王,上市,13,226,32.4,生技醫療業,曾盛麟
178,5483,中美晶,上櫃,58,225,14.2,半導體業,盧明光
179,4180,安成藥,上櫃,11.3,224,1.5,生技醫療業,陳志明
180,2355,敬鵬,上市,39.7,221,18.6,電子零組件業,黃維金
181,2376,技嘉,上市,62.9,220,16.7,電腦及週邊設備業,葉培城
182,6116,彩晶,上市,330,217,10.7,光電業,焦佑麒
183,1262,F-綠悅,上市,14.8,213,1.3,其他業,王哲夫
184,9941,裕融,上市,26.2,212,13.7,其他業,嚴凱泰
185,3706,神達,上市,76.6,211,1.7,電腦及週邊設備業,苗豐強
186,1503,士電,上市,52.1,210,45.4,電機機械,許育瑞
187,1589,F-永冠,上市,10.6,209,3.1,電機機械,張賢銘
188,2727,王品,上市,7.7,207,3.2,觀光事業,戴勝益
189,5371,中光電,上櫃,54.3,207,16.3,光電業,張威儀
190,4733,上緯,上市,8.56,206,4.4,化學工業,蔡朝陽
191,1736,喬山,上市,30.2,204,12.4,生技醫療業,羅崑泉
192,1702,南僑,上市,29.4,203,42,食品工業,陳飛龍
193,3060,銘異,上市,17.4,203,12.1,電腦及週邊設備業,謝錦興
194,8422,可寧衛,上市,10.9,203,3.6,其他業,楊慶祥
195,2458,義隆,上市,44.1,202,13.7,半導體業,葉儀皓
196,2511,太子,上市,166,202,24.1,建材營造業,鄭高輝
197,1907,永豐餘,上市,166,201,38.2,造紙工業,邱秀瑩
198,2637,F-慧洋,上市,48.7,200,4.5,航運業,藍俊昇
199,5007,三星,上市,26.8,199,3.7,鋼鐵工業,柯吉源
200,1319,東陽,上市,59.1,194,20.4,塑膠工業,吳永豐
201,2548,華固,上市,27.7,194,12.7,建材營造業,鍾榮昌
202,6605,帝寶,上市,16.6,192,11.2,電機機械,謝氣
