"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料月份","非獨董監持股(萬張)","非獨董監增減張數","非獨董監持股(%)","非獨董監質押(萬張)","非獨董監質押(%)","獨立董監持股(萬張)","獨立董監增減張數","獨立董監持股(%)","獨立董監質押(萬張)","獨立董監質押(%)","全體董監持股(萬張)","全體董監增減張數","全體董監持股(%)","全體董監質押(萬張)","全體董監質押(%)"
"314","2476","鉅祥","25.45","+0.05","+0.2%","15M04","2.05","0","11.4%","0","0%","0","0","0%","0","0%","2.05","0","11.4%","0","0%"
"315","2027","大成鋼","17","-0.2","-1.16%","15M04","7.17","0","9.22%","3.53","49.2%","0","0","0%","0","0%","7.17","0","9.22%","3.53","49.2%"
"316","2393","億光","68.1","+0.3","+0.44%","15M04","3.39","0","7.86%","0.07","2.06%","0","0","0%","0","0%","3.39","0","7.86%","0.07","2.06%"
"317","5533","皇鼎","20.45","+0.05","+0.25%","15M04","7.1","+94","27.8%","0.8","11.3%","0.01","+10","0.03%","0","0%","7.11","+104","27.8%","0.8","11.2%"
"318","3684","榮昌","51.2","+0.1","+0.2%","15M04","0.9","-179","43.9%","0","0%","0","0","0%","0","0%","0.9","-179","43.9%","0","0%"
"319","8131","福懋科","23.95","0","0%","15M04","29.3","0","66.3%","0","0%","0","0","0%","0","0%","29.3","0","66.3%","0","0%"
"320","5608","四維航","17.3","-0.2","-1.14%","15M04","5.15","0","12.8%","0","0%","0","0","0%","0","0%","5.15","0","12.8%","0","0%"
"321","2063","世鎧","25.7","+0.45","+1.78%","15M04","1.12","+47","26%","0.22","19.9%","0","0","0%","0","0%","1.12","+47","26%","0.22","19.9%"
"322","6263","普萊德","60","-1.9","-3.07%","15M04","2.41","0","39.4%","0","0%","0","0","0%","0","0%","2.41","0","39.4%","0","0%"
"323","6155","鈞寶","22.3","-0.25","-1.11%","15M04","2.11","0","25.1%","0","0%","0","0","0%","0","0%","2.11","0","25.1%","0","0%"
"324","1612","宏泰","10.3","0","0%","15M04","4.01","0","12.4%","0","0%","0","0","0%","0","0%","4.01","0","12.4%","0","0%"
"325","2020","美亞","13.75","-0.2","-1.43%","15M04","4.13","0","15.9%","3.92","94.9%","0","0","0%","0","0%","4.13","0","15.9%","3.92","94.9%"
"326","2340","光磊","12.9","-0.1","-0.77%","15M04","4.58","0","8.39%","0","0%","0","0","0%","0","0%","4.58","0","8.39%","0","0%"
"327","8926","台汽電","27.55","-0.05","-0.18%","15M04","23.95","0","40.7%","0","0%","0","0","0%","0","0%","23.95","0","40.7%","0","0%"
"328","9911","櫻花","22.4","0","0%","15M04","2.71","0","9.82%","0.19","7.12%","0","0","0%","0","0%","2.71","0","9.82%","0.19","7.12%"
"329","3014","聯陽","34.5","+0.2","+0.58%","15M04","1.67","0","10.6%","0","0%","0","0","0.01%","0","0%","1.68","0","10.6%","0","0%"
"330","4736","泰博","89.9","+1.6","+1.81%","15M04","1.84","0","26.5%","0.5","27.2%","0","0","0%","0","0%","1.84","0","26.5%","0.5","27.2%"
"331","6151","晉倫","20.75","0","0%","15M04","0.75","+10","13.6%","0.08","10%","0","0","0%","0","0%","0.75","+10","13.6%","0.08","10%"
"332","3492","長盛","17.3","+0.05","+0.29%","15M04","1.52","0","48.1%","0","0%","0","0","0%","0","0%","1.52","0","48.1%","0","0%"
"333","5460","同協","15.6","-0.15","-0.95%","15M04","1.07","0","14.8%","0","0%","0","0","0%","0","0%","1.07","0","14.8%","0","0%"
"334","3260","威剛","43.35","+0.55","+1.29%","15M04","2.59","0","11.3%","0.7","27%","0","0","0%","0","0%","2.59","0","11.3%","0.7","27%"
"335","3118","進階","34.75","+0.35","+1.02%","15M04","0.8","+15","24.7%","0","0%","0.01","0","0.4%","0","0%","0.82","+15","25.1%","0","0%"
"336","3266","昇陽","17.4","-0.1","-0.57%","15M04","5.21","0","14.8%","0","0%","0","0","0.01%","0","0%","5.21","0","14.8%","0","0%"
"337","8043","蜜望實","17.4","+0.05","+0.29%","15M04","2.4","0","30.1%","0","0%","0","0","0%","0","0%","2.4","0","30.1%","0","0%"
"338","3021","鴻名","12.2","+0.1","+0.83%","15M04","1.91","0","17.6%","0.22","11.7%","0","0","0%","0","0%","1.91","0","17.6%","0.22","11.7%"
"339","3002","歐格","13.95","+0.15","+1.09%","15M04","1.94","0","19%","0","0%","0","0","0%","0","0%","1.94","0","19%","0","0%"
"340","8050","廣積","67.7","+0.1","+0.15%","15M04","0.39","-3,863","3.58%","0","0%","0","0","0%","0","0%","0.39","-3,863","3.58%","0","0%"
"341","3607","谷崧","73.3","-0.3","-0.41%","15M04","1.64","+9","13.2%","0","0%","0","0","0%","0","0%","1.64","+9","13.2%","0","0%"
"342","1102","亞泥","38.4","0","0%","15M04","98.65","0","29.3%","4.44","4.5%","0","0","0%","0","0%","98.65","0","29.3%","4.44","4.5%"
"343","3379","彬台","19.25","-0.15","-0.77%","15M04","1.13","0","31.3%","0","0%","0","0","0%","0","0%","1.13","0","31.3%","0","0%"
"344","4103","百略","70","+0.1","+0.14%","15M04","3.97","0","36.1%","0","0%","0","0","0%","0","0%","3.97","0","36.1%","0","0%"
"345","2397","友通","45.2","0","0%","15M04","2.66","-130","23.2%","0","0%","0","0","0%","0","0%","2.66","-130","23.2%","0","0%"
"346","6109","亞元","14.05","+0.3","+2.18%","15M04","1.02","0","14%","0","0%","0","0","0%","0","0%","1.02","0","14%","0","0%"
"347","1773","勝一","45.7","+0.05","+0.11%","15M04","7.59","0","50.6%","0","0%","0","0","0%","0","0%","7.59","0","50.6%","0","0%"
"348","4721","美琪瑪","22.85","-0.25","-1.08%","15M04","1.45","0","19.3%","0","0%","0","0","0%","0","0%","1.45","0","19.3%","0","0%"
"349","3354","律勝","10.75","+0.05","+0.47%","15M04","2.36","0","28.1%","0.19","7.93%","0.02","0","0.24%","0","0%","2.38","0","28.4%","0.19","7.86%"
"350","6208","日揚","14.1","+0.1","+0.71%","15M04","1.47","0","12.7%","0","0%","0.05","-130","0.42%","0","0%","1.51","-130","13.2%","0","0%"
