"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料年度","政府機構(%)","政府機構增減","僑外投資(%)","僑外投資增減","本國金融機構(%)","本國金融機構增減","本國法人(%)","本國法人增減","本國個人(%)","本國個人增減","庫藏股票(%)","庫藏股票增減"
"1056","4907","富宇","14.55","0","0%","2014","0%","0","0.1%","-0.17","78.2%","+78.2","0%","0","21.7%","-78","0%","0"
"1057","4924","F-欣厚","46.65","+0.15","+0.32%","2014","0%","0","32.3%","-2.15","0%","-0.57","2.7%","+2.27","65%","+0.44","0%","0"
"1058","4721","美琪瑪","22.85","-0.25","-1.08%","2014","0%","0","0.2%","+0.23","1.3%","+1.32","23.7%","-2.06","74.8%","+0.51","0%","0"
"1059","6220","岳豐","13.35","+0.05","+0.38%","2014","0%","0","0.2%","-2.37","0%","0","10.3%","-8.05","89.4%","+10.4","0%","0"
"1060","5317","凱美","12.55","-0.05","-0.4%","2014","0%","0","0.2%","+0.15","0%","0","4.3%","-2.19","95.6%","+2.04","0%","0"
"1061","8155","博智","33.2","+0.4","+1.22%","2015","0%","0","0.1%","0","6.2%","+4.74","48.1%","-7.6","45.6%","+2.86","0%","0"
"1062","3303","岱稜","16.7","-0.2","-1.18%","2014","0%","0","0.2%","-0.41","0.7%","-7.08","4.6%","+2.21","92.3%","+4.11","2.2%","+1.17"
"1063","3588","通嘉","36.8","+0.4","+1.1%","2015","0%","0","8%","-0.32","2%","+0.03","9.8%","-1.55","80.2%","+1.84","0%","0"
"1064","1541","錩泰","21.65","-0.4","-1.81%","2015","0%","0","9.7%","+0.16","0%","0","10.4%","+0.11","79.9%","-0.27","0%","0"
"1065","6154","順發","21.3","-0.15","-0.7%","2015","0%","0","0%","-0.05","0%","0","42.8%","+0.44","57.2%","-0.39","0%","0"
"1066","1515","力山","9.28","+0.12","+1.31%","2015","0%","0","0.9%","+0.54","5.5%","+0.41","10.4%","+0.76","83.2%","-1.71","0%","0"
"1067","4109","穆拉德","23.5","+0.45","+1.95%","2015","0%","0","0.1%","-0.08","0%","0","6.7%","-0.1","93.2%","+0.18","0%","0"
"1068","2375","智寶","17.75","0","0%","2014","0%","0","10.1%","+4.49","0%","-0.3","22.8%","0","67.2%","-4.19","0%","0"
"1069","3205","佰研","67.8","+0.6","+0.89%","2014","0%","0","0.2%","-0.06","0%","0","12.3%","-0.32","87.4%","+0.38","0%","0"
"1070","6506","雙邦","25.6","+1.65","+6.89%","2015","0%","0","0%","0","0%","0","5.4%","+0.03","94.6%","-0.03","0%","0"
"1071","2064","晉椿","23.9","+0.15","+0.63%","2014","0%","","0%","","12.7%","","25.6%","","61.7%","","0%",""
"1072","8032","光菱","32.25","+0.3","+0.94%","2014","0%","0","0%","-0.11","1.7%","+1.73","56.4%","-0.13","41.8%","-1.5","0%","0"
"1073","6129","普誠","9.18","+0.06","+0.66%","2014","0%","0","3.5%","+1.06","0%","0","3.4%","+0.01","93.2%","-1.07","0%","0"
"1074","3169","亞信","32.05","+0.6","+1.91%","2014","0%","0","0.1%","+0.02","0%","-1.3","17.7%","-6.21","77.8%","+7.51","4.3%","-0.02"
"1075","3553","力積","24.45","+0.55","+2.3%","2014","0%","0","4.7%","-1.93","1.6%","+1.62","8.9%","+3.75","84.8%","-3.44","0%","0"
"1076","8038","長園科","30.3","+0.4","+1.34%","2014","0%","","2.9%","","0%","","27%","","70.1%","","0%",""
"1077","9958","世紀鋼","9.09","+0.29","+3.3%","2015","0%","0","0.4%","+0.09","0%","+0.05","40.3%","-0.64","59.3%","+0.5","0%","0"
"1078","6175","立敦","14.4","+0.15","+1.05%","2015","0%","0","0.2%","-0.2","1.3%","-1.53","37.6%","+0.31","61%","+1.42","0%","0"
"1079","3285","微端","37.4","+0.2","+0.54%","2015","0%","0","0.8%","+0.75","0.3%","+0.31","21.8%","-0.73","77.1%","-0.33","0%","0"
"1080","3508","位速","17.75","+0.45","+2.6%","2014","0%","0","23.6%","+0.5","0%","-3.16","6.6%","-1.64","69.8%","+4.3","0%","0"
"1081","2611","志信","9.45","-0.05","-0.53%","2014","0%","0","1.3%","-0.68","0%","0","58.6%","+22.1","39.1%","-22.4","1%","+0.98"
"1082","6164","華興","13.9","+0.05","+0.36%","2014","0%","0","1.2%","-0.44","4.1%","+4.08","2.4%","-0.5","92.3%","-3.14","0%","0"
"1083","5403","中菲","22.3","+0.05","+0.22%","2015","0%","0","2.7%","-0.33","0.6%","-0.03","7%","-0.87","89.7%","+1.23","0%","0"
"1084","6215","和椿","19.75","+0.15","+0.77%","2014","0%","0","5.8%","+0.55","0%","0","18.2%","-3.9","76%","+3.34","0%","0"
"1085","3577","泓格","37.4","+0.2","+0.54%","2014","0%","0","0%","0","0%","-0.84","25.9%","+0.33","74.1%","+0.51","0%","0"
"1086","1470","大統染","19.05","-0.3","-1.55%","2014","0%","0","0.2%","0","0%","0","29.6%","+2.83","70.2%","-2.83","0%","0"
"1087","8424","惠普","45.3","-0.2","-0.44%","2014","0%","0","0.5%","+0.37","0%","0","52%","-10.2","47.5%","+9.82","0%","0"
"1088","1469","理隆","13.1","+0.05","+0.38%","2014","0%","0","0.1%","+0.03","0%","0","44.1%","+0.01","55.8%","-0.04","0%","0"
"1089","6142","友勁","5.98","0","0%","2014","0%","0","3%","0","0%","0","19.5%","-0.14","75.8%","+0.15","1.6%","0"
"1090","1468","昶和","10.15","-0.15","-1.46%","2014","0%","0","1.9%","-0.06","0%","0","51.3%","-0.05","46.8%","+0.11","0%","0"
"1091","5452","佶優","10.6","-0.4","-3.64%","2014","0%","0","6.3%","+0.08","0%","0","24.5%","+2.77","66.1%","-3.63","3%","+0.79"
"1092","6208","日揚","14.1","+0.1","+0.71%","2015","0%","0","0.6%","-0.02","0%","-0.02","5.9%","-4.89","93.4%","+4.93","0%","0"
"1093","3024","憶聲","5.75","0","0%","2014","0%","0","2.7%","-0.2","0%","0","14.1%","+0.19","81.4%","+0.01","1.8%","0"
"1094","8435","鉅邁","52.6","0","0%","2015","0%","0","0.1%","-0.3","0%","0","7.7%","+6.62","92.2%","-6.33","0%","0"
"1095","3310","佳穎","14.45","-0.05","-0.34%","2014","0%","0","0%","+0.01","0.1%","+0.12","58.5%","-5.96","41.4%","+5.84","0%","0"
"1096","5603","陸海","21.6","-0.05","-0.23%","2015","0%","0","7.4%","-0.7","1.4%","+1.41","11.8%","-2.87","79.5%","+2.17","0%","0"
"1097","6114","翔昇","44.3","-0.2","-0.45%","2014","0%","0","0%","0","0%","0","71%","+10.9","29%","-10.9","0%","0"
"1098","1471","首利","7.95","+0.08","+1.02%","2014","0%","0","3%","+0.22","3.2%","-1.04","14.9%","+0.2","78.9%","+0.62","0%","0"
"1099","4946","辣椒","59.1","0","0%","2014","0%","0","42.9%","-7.05","0%","0","6.2%","+1.98","50.9%","+5.07","0%","0"
"1100","8182","加高","14.85","+0.15","+1.02%","2014","0%","0","51%","+0.3","0.9%","+0.86","0.8%","-0.51","47.4%","-0.64","0%","0"
"1101","4995","晶達","46.5","-0.2","-0.43%","2014","0%","0","7.6%","-6.34","0%","0","28.6%","-1.37","63.8%","+7.71","0%","0"
"1102","5315","光聯","14.9","-0.6","-3.87%","2014","0.1%","+0.14","0.6%","+0.53","0%","0","6.5%","-0.65","92.7%","-0.01","0%","0"
"1103","5355","佳總","9.12","+0.12","+1.33%","2014","0%","0","0.3%","-0.94","1.9%","+1.89","2.6%","+0.12","95.2%","-1.07","0%","0"
"1104","2613","中櫃","16.85","-0.05","-0.3%","2015","0%","0","0.4%","+0.06","0%","0","54.9%","-0.23","44.8%","+0.17","0%","0"
"1105","4413","飛寶","24.4","0","0%","2014","0%","0","6.1%","+6.12","0%","0","6.6%","-5.54","87.2%","-0.58","0%","0"
"1106","1787","福盈科","21.8","-1.15","-5.01%","2014","0%","0","2.6%","+0.89","3.6%","-0.04","12%","+0.84","81.8%","-1.69","0%","0"
"1107","6235","華孚","9.72","+0.02","+0.21%","2014","0%","0","5.2%","-1.62","0%","0","36%","-0.16","58.8%","+1.78","0%","0"
"1108","9902","台火","16","-0.2","-1.23%","2014","0%","0","0%","-1.09","0%","0","24.4%","-2.36","75.5%","+3.45","0%","0"
"1109","5523","豐謙","13.9","-0.2","-1.42%","2014","0%","0","0%","0","0%","0","47.4%","-2.86","52.6%","+2.86","0%","0"
"1110","5704","老爺知","40.3","+0.05","+0.12%","2014","0%","0","0%","0","0.2%","0","21.2%","-0.83","78.6%","+0.83","0%","0"
"1111","6292","迅德","33.35","-0.15","-0.45%","2014","0%","0","0.3%","+0.32","0%","0","45.6%","-3.38","54.1%","+3.06","0%","0"
"1112","3546","宇峻","45.3","-0.1","-0.22%","2015","0%","0","0.4%","-0.56","0%","-0.01","17.5%","-1.38","80.7%","+1.96","1.5%","0"
"1113","3306","鼎天","30.85","+0.5","+1.65%","2014","0%","0","1.4%","+1.31","1.6%","+0.16","41.7%","-0.8","55.2%","-0.68","0%","0"
"1114","3570","大塚","91.3","-1.6","-1.72%","2014","0.3%","+0.33","37.8%","0","0%","0","2.4%","+0.68","59.4%","-1.01","0%","0"
"1115","8085","福華","9.86","-0.01","-0.1%","2014","0%","0","0.1%","-0.05","0%","0","47.5%","-0.73","52.4%","+0.78","0%","0"
"1116","3663","鑫科","21.05","+0.05","+0.24%","2014","0%","0","3.7%","-0.06","0%","-2.57","54.1%","-3.63","42.2%","+6.26","0%","0"
"1117","9950","萬國通","25.55","+0.05","+0.2%","2014","0%","0","0%","0","0%","0","24%","+0.29","76%","-0.29","0%","0"
"1118","4984","F-科納","34","-0.05","-0.15%","2014","0%","0","61.7%","-13.5","0%","0","1.2%","-0.14","37.1%","+13.6","0%","0"
